"ID";"global_id";"AdmArea";"District";"Address";"RegionOfFair";"PeriodOfPlacement";"Goods";"geoData";
"35";"933942487";"Южный административный округ";"район Царицыно";"город Москва, Пролетарский проспект, дом 18";"Тамбовская область";"11.08.2019-17.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.656693306607316, 55.634940316808425]}";
"34";"933942488";"Восточный административный округ";"район Гольяново";"город Москва, Уральская улица, дом 4";"Пензенская область";"21.08.2019-27.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.79885072650054, 55.81108099001607]}";
"39";"933942489";"Зеленоградский административный округ";"район Старое Крюково";"город Москва, город Зеленоград, Крюковская площадь, дом 1";"Рязанская область";"01.08.2019-07.08.2019";"сельскохозяйственная продукция, продовольственная продукция, промышленные товары.";"{type=Point, coordinates=[37.174850913799325, 55.98012131195869]}";
"39";"933942491";"Зеленоградский административный округ";"район Старое Крюково";"город Москва, город Зеленоград, Крюковская площадь, дом 1";"Пензенская область";"11.08.2019-17.08.2019";"сельскохозяйственная продукция, продовольственная продукция, промышленные товары.";"{type=Point, coordinates=[37.174850913799325, 55.98012131195869]}";
"29";"933942492";"Юго-Западный административный округ";"район Черёмушки";"город Москва, Нахимовский проспект, дом 51/21";"Нижегородская область";"01.08.2019-07.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.563965045981625, 55.67718930594285]}";
"228";"933942493";"Южный административный округ";"район Бирюлёво Западное";"город Москва, Булатниковский проезд, дом 6, корпус 1";"Алтайский край";"21.08.2019-27.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.65150946051868, 55.59314080704914]}";
"34";"933942494";"Восточный административный округ";"район Гольяново";"город Москва, Уральская улица, дом 4";"Калужская область";"01.08.2019-07.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.79885072650054, 55.81108099001607]}";
"228";"933942495";"Южный административный округ";"район Бирюлёво Западное";"город Москва, Булатниковский проезд, дом 6, корпус 1";"Республика Беларусь";"21.08.2019-27.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.65150946051868, 55.59314080704914]}";
"28";"933942496";"Восточный административный округ";"район Новогиреево";"город Москва, Зелёный проспект, дом 81";"Ярославская область";"21.08.2019-27.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.819555420158196, 55.751808551299625]}";
"228";"933942497";"Южный административный округ";"район Бирюлёво Западное";"город Москва, Булатниковский проезд, дом 6, корпус 1";"Самарская область";"01.08.2019-07.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.65150946051868, 55.59314080704914]}";
"29";"933942498";"Юго-Западный административный округ";"район Черёмушки";"город Москва, Нахимовский проспект, дом 51/21";"Вологодская область";"01.08.2019-07.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.563965045981625, 55.67718930594285]}";
"115";"933942500";"Юго-Западный административный округ";"район Ясенево";"город Москва, Новоясеневский проспект, дом 1, строение 4";"Рязанская область";"01.08.2019-07.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.510358, 55.618278]}";
"115";"933942501";"Юго-Западный административный округ";"район Ясенево";"город Москва, Новоясеневский проспект, дом 1, строение 4";"Белгородская область";"11.08.2019-17.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.510358, 55.618278]}";
"115";"933942502";"Юго-Западный административный округ";"район Ясенево";"город Москва, Новоясеневский проспект, дом 1, строение 4";"Калужская область";"21.08.2019-27.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.510358, 55.618278]}";
"35";"933942503";"Южный административный округ";"район Царицыно";"город Москва, Пролетарский проспект, дом 18";"Костромская область";"21.08.2019-27.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.656693306607316, 55.634940316808425]}";
"34";"933942504";"Восточный административный округ";"район Гольяново";"город Москва, Уральская улица, дом 4";"Ивановская область";"21.08.2019-27.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.79885072650054, 55.81108099001607]}";
"112";"933942507";"Юго-Восточный административный округ";"район Люблино";"город Москва, Краснодарская улица, дом 57, корпус 1";"Брянская область";"11.08.2019-17.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.766164, 55.676494]}";
